featureId,feature,featureColor,featureLayer,featureWeight
12114722424,"-23.308449636596607,120.1059079018466390;-23.308348035032606,120.1056787419452002;-23.308249586237309,120.1054755001152302;-23.308203657270034,120.1053744662443806;-23.308189041923506,120.1053334856934662;-23.308184713204037,120.1053151961938876;-23.308182550085861,120.1053016992003632;-23.308030314864126,120.1053216406774330;-23.308044832498860,120.1053886368813697;-23.308073703927729,120.1054639473389276;-23.308196605783780,120.1057219606464291;-23.308256882769855,120.1058515540395100;-23.308310930502985,120.1059784085172710;-23.308449636596607,120.1059079018466390",blue,Jimblebar Lanes,1
12114834666,"-23.379997971743990,120.0945024694941489;-23.380036245980136,120.0945335735321456;-23.380096280413834,120.0945638966283035;-23.380172840687897,120.0945847339380070;-23.380258885326835,120.0945919772452970;-23.380335182625597,120.0945851362224374;-23.380400106688279,120.0945665580361101;-23.380452483405530,120.0945374162450250;-23.380495473218600,120.0944967330324012;-23.380525100924776,120.0944530170083106;-23.380544887931408,120.0944059750032127;-23.380399535422399,120.0943535425580663;-23.380391042744767,120.0943724180026343;-23.380381106677041,120.0943868922033294;-23.380365121100066,120.0944015615979198;-23.380343177224896,120.0944131986859733;-23.380310128445780,120.0944219987229621;-23.380272205326973,120.0944261038723961;-23.380233019482474,120.0944255143805825;-23.380196362827982,120.0944212085384440;-23.380157540683798,120.0944117189773312;-23.380129463732969,120.0943999806746924;-23.380111499050237,120.0943891232907839;-23.380102201515702,120.0943808093819928;-23.379997971743990,120.0945024694941489",blue,Jimblebar Lanes,1
12115001541,"-23.379901479285185,120.1482113033193537;-23.379890563862094,120.1481772670502343;-23.379832301303390,120.1479493815464723;-23.379796854051964,120.1478201810596737;-23.379767904999422,120.1477004679295381;-23.379755914294782,120.1476376774369065;-23.379750420728818,120.1475880908236780;-23.379752773746351,120.1475689215506977;-23.379600730879188,120.1475475900770229;-23.379598552164817,120.1475887650890685;-23.379605301844132,120.1476662257090546;-23.379629556719180,120.1477827110124008;-23.379705589708831,120.1480693774704559;-23.379757269497836,120.1482677259492471;-23.379901479285185,120.1482113033193537",blue,Jimblebar Lanes,1
12115196070,"-23.411516202331617,120.0839322852330582;-23.411445513525019,120.0839023526232139;-23.411419433117551,120.0838550140803241;-23.411399482047120,120.0838441565609466;-23.411381157458497,120.0838288980070574;-23.411372401526560,120.0838210731513623;-23.411265187681372,120.0839584793803450;-23.411292900011180,120.0839823452588730;-23.411352661481315,120.0840200035788079;-23.411400969469081,120.0840107155663172;-23.411475810850574,120.0840433869498548;-23.411516202331617,120.0839322852330582",blue,Jimblebar Lanes,1
12114220261,"-23.313018798713363,120.1260984192416876;-23.313006021956534,120.1259425200186769;-23.312968552153388,120.1256235811240516;-23.312954776622675,120.1254872424793064;-23.312802451668594,120.1255052278856185;-23.312856309284565,120.1259820223141618;-23.312864861925063,120.1260694589867615;-23.312865574985007,120.1261019297083829;-23.313018798713363,120.1260984192416876",blue,Jimblebar Lanes,1
12112908559,"-23.314269773795928,120.1241914393376417;-23.314143284297522,120.1241659040677006;-23.314128027237184,120.1241588611944926;-23.314117646636951,120.1241490801633592;-23.314107358363781,120.1241321595025936;-23.314096351311132,120.1241028177823565;-23.314089678557985,120.1240722049156981;-23.314088331121977,120.1240479496222929;-23.314090954061955,120.1240321056776057;-23.314100626317373,120.1239928872412475;-23.314082755747315,120.1239686308209867;-23.314101555251731,120.1239016368892343;-23.314107247338205,120.1238883360378882;-23.314002792312221,120.1238500878505213;-23.313977125830775,120.1239342946827699;-23.313949403150003,120.1239467138025719;-23.313932585680860,120.1240289651736732;-23.313933471955859,120.1240872559603300;-23.313948620255934,120.1241590445656404;-23.313972710676580,120.1242189995897312;-23.314006465038393,120.1242688815400039;-23.314044738521234,120.1243026262652107;-23.314091773069643,120.1243262000517925;-23.314240472013237,120.1243586808658531;-23.314269773795928,120.1241914393376417",blue,Jimblebar Lanes,1
12101655104,"-23.361339314765483,120.2115243288220768;-23.361303458810768,120.2115617850145675;-23.361284038964072,120.2115877993498461;-23.361224788071548,120.2116593872747673;-23.361340148002258,120.2117685435489636;-23.361423334877188,120.2116652690093078;-23.361446916422134,120.2116100117915126;-23.361339314765483,120.2115243288220768",blue,Jimblebar Lanes,1
12071564646,"-23.364253534932996,120.0880545979105332;-23.364248469410540,120.0880870682380631;-23.364225807737797,120.0883993524120328;-23.364222453993368,120.0884449284893786;-23.364206312616443,120.0886892398618514;-23.364203678851200,120.0887430314597787;-23.364359972228254,120.0887403036282845;-23.364359706462935,120.0887224056187214;-23.364360253031765,120.0887054856968775;-23.364371158823897,120.0884567728219092;-23.364374421775773,120.0884129571965457;-23.364397170446646,120.0881122138098737;-23.364401964261047,120.0880826775607708;-23.364253534932996,120.0880545979105332",blue,Jimblebar Lanes,1
12084315089,"-23.384483303877895,120.1230643510035892;-23.384470575868063,120.1230540807962062;-23.384453516376646,120.1230352036090145;-23.384435465839692,120.1230087955053783;-23.384419042705251,120.1229747588606403;-23.384403615052474,120.1229327024187769;-23.384389363294660,120.1228832130114833;-23.384374755788079,120.1228147497529390;-23.384354294921243,120.1226919074982654;-23.384344385860882,120.1226117081723205;-23.384335660451731,120.1224968865830054;-23.384332523390822,120.1224159052930466;-23.384332526431941,120.1224052447409766;-23.384179392659133,120.1224099288525896;-23.384180912724292,120.1224620580788602;-23.384196925118731,120.1226698910386774;-23.384226036505261,120.1228535674935484;-23.384255436423650,120.1229753345223024;-23.384286201968957,120.1230575891385016;-23.384321667857696,120.1231214570676602;-23.384364992187504,120.1231741759643171;-23.384404439835498,120.1232065515243537;-23.384483303877895,120.1230643510035892",blue,Jimblebar Lanes,1
12005824362,"-23.364206458772847,120.0612735269209985;-23.364202593279000,120.0612139644891482;-23.364189635076566,120.0610610971539522;-23.364181984558363,120.0609763990333693;-23.364176406058882,120.0609080341938231;-23.364053518521017,120.0609163390877692;-23.364079795138680,120.0612253990926121;-23.364083209766680,120.0612829076258440;-23.364206458772847,120.0612735269209985",blue,Jimblebar Lanes,1
11874212643,"-23.366798047828830,120.2189478685985514;-23.366787133521746,120.2189099202002320;-23.366771249032486,120.2188867397509701;-23.366741739433130,120.2188329459609085;-23.366708704436698,120.2187934312022772;-23.366667449809897,120.2187651632547470;-23.366623304413188,120.2187420786813610;-23.366552342280325,120.2187207527372837;-23.366480472584633,120.2187157598710396;-23.366469546950080,120.2187175195841002;-23.366482403199893,120.2189112686632786;-23.366501454575344,120.2189108787496293;-23.366532963675481,120.2189187051570600;-23.366570791119205,120.2189334760248583;-23.366642195413061,120.2189873704753140;-23.366657536988414,120.2190146586232898;-23.366798047828830,120.2189478685985514",blue,Jimblebar Lanes,1
11616035632,"-23.322307736731370,120.0876351932985741;-23.322285049010668,120.0886718082062392;-23.322273224199538,120.0896100338034460;-23.322272397664203,120.0896588375597969;-23.322423452387446,120.0896624665811072;-23.322435664056034,120.0886341642337011;-23.322464841354467,120.0876372578807690;-23.322307736731370,120.0876351932985741",blue,Jimblebar Lanes,1
11702624314,"-23.381057670149959,120.1791489895016616;-23.381066051026211,120.1792055203412659;-23.381086431590958,120.1792933490334418;-23.381117020963792,120.1793601507269857;-23.381148609222111,120.1794070006293441;-23.381272783256612,120.1793200620246854;-23.381228658422327,120.1792248964707894;-23.381207823169410,120.1791484129225051;-23.381206293450792,120.1791301236138145;-23.381057670149959,120.1791489895016616",blue,Jimblebar Lanes,1
11486387373,"-23.336821909228482,120.0461777843550586;-23.336796807674177,120.0461807167401233;-23.336736845814222,120.0462124987011731;-23.336672360899315,120.0462742081427189;-23.336623499535078,120.0463242800651735;-23.336740667755903,120.0464247319750534;-23.336765143917999,120.0463985223781449;-23.336813280029918,120.0463587197455789;-23.336861319964551,120.0463395535883852;-23.336821909228482,120.0461777843550586",blue,Jimblebar Lanes,1
