WKT,label,fillColor
"POLYGON((120.0949625900361036 -23.329164462737535, 120.0950058121979492 -23.329063776665409, 120.0953318333387776 -23.328259738369843, 120.0953951976211362 -23.328080674526483, 120.0955326140226079 -23.328122620339494, 120.0954837217980714 -23.328260327073329, 120.0954675870483932 -23.328301142915057, 120.0951801929863321 -23.329028965134656, 120.0951098850933658 -23.329214170702729, 120.0949625900361036 -23.329164462737535 ))",lane,blue
"POLYGON((120.0935995602662696 -23.322783942117853, 120.0935971093726687 -23.322698708724957, 120.0935920175824967 -23.322610406213466, 120.0935863376613587 -23.322502872024826, 120.0937432149844038 -23.322516641696503, 120.0937401849254205 -23.322543639376059, 120.0937401989279871 -23.322748959631959, 120.0937362892310711 -23.322784625436215, 120.0935995602662696 -23.322783942117853 ))",lane,blue
"POLYGON((120.0628674892041082 -23.373734976919127, 120.0625923463657362 -23.373407301431805, 120.0626875047828799 -23.373346779750440, 120.0629680259060382 -23.373661361602502, 120.0628674892041082 -23.373734976919127 ))",lane,blue
"POLYGON((120.1140457747332163 -23.382426714830471, 120.1142045091291991 -23.382423057934495, 120.1143488667213098 -23.382423377915244, 120.1145812483103301 -23.382439654177790, 120.1147424286060344 -23.382448005200860, 120.1150625402527136 -23.382472472858804, 120.1150501286822286 -23.382610891508675, 120.1146081534289439 -23.382574991739893, 120.1143166988675764 -23.382561350749200, 120.1140953702504516 -23.382562768242535, 120.1140469579286972 -23.382566845118869, 120.1140457747332163 -23.382426714830471 ))",lane,blue
"POLYGON((120.1198475959654344 -23.382950369020786, 120.1198345822306283 -23.382863784285859, 120.1198235225714913 -23.382748035209878, 120.1198242058763575 -23.382728712879677, 120.1199831364576223 -23.382733543220801, 120.1199830411728838 -23.382770472001851, 120.1199885262757451 -23.382889563411091, 120.1199852048267911 -23.382946176409147, 120.1198475959654344 -23.382950369020786 ))",lane,blue
"POLYGON((120.0515608650778752 -23.333819393184375, 120.0514771489489812 -23.333869799082221, 120.0514355852979262 -23.333909719274493, 120.0514219928780367 -23.333942408259317, 120.0514186681963002 -23.333951618823623, 120.0514202349753344 -23.333979879256770, 120.0512273690562821 -23.334010000962455, 120.0512211080731958 -23.333986888418466, 120.0512207150376022 -23.333960162586467, 120.0512272641347729 -23.333905625345755, 120.0512474081395362 -23.333854876421620, 120.0512837877575751 -23.333808185931807, 120.0513059877053069 -23.333787864269718, 120.0513516597755245 -23.333757965134489, 120.0514230542491741 -23.333730315920265, 120.0514828096643122 -23.333695717669211, 120.0515608650778752 -23.333819393184375 ))",lane,blue
"POLYGON((120.1643397513056113 -23.384356589693101, 120.1641694790964908 -23.384403769829997, 120.1635154819948683 -23.384596003972884, 120.1629766939146647 -23.384741525138420, 120.1629312162501593 -23.384753817599599, 120.1627940005413921 -23.384786451559888, 120.1627548698158248 -23.384648137903756, 120.1629377588325035 -23.384603753168588, 120.1634343945210756 -23.384469981773525, 120.1641416934286075 -23.384263737420795, 120.1642869280601095 -23.384217286749143, 120.1643397513056113 -23.384356589693101 ))",lane,blue
"POLYGON((120.1718100874226906 -23.381891066975366, 120.1718537096768323 -23.381920579476340, 120.1719085786312367 -23.381940247120645, 120.1720429618948845 -23.381964045438211, 120.1720547086027579 -23.382115368716791, 120.1718750426468235 -23.382094562898553, 120.1718220323601960 -23.382080853887245, 120.1717531767434030 -23.382049452487165, 120.1716921445598808 -23.382005949948171, 120.1716790379726202 -23.381991958682544, 120.1718100874226906 -23.381891066975366 ))",lane,blue
"POLYGON((120.2180830379626703 -23.364565414138733, 120.2180112507305227 -23.364570400586708, 120.2179803447682161 -23.364568332725111, 120.2179524704535745 -23.364562562094260, 120.2178997526037234 -23.364534587123951, 120.2178549561751034 -23.364497219697329, 120.2178221891558396 -23.364454160546936, 120.2177978327217413 -23.364403875769129, 120.2177879526804725 -23.364375798288196, 120.2177810050796875 -23.364323431866108, 120.2177847179078189 -23.364269256595901, 120.2177904862601965 -23.364239368843941, 120.2177958627838860 -23.364200452168582, 120.2179937241307776 -23.364279760944188, 120.2179891282903044 -23.364293125227296, 120.2179886404810598 -23.364310822275397, 120.2179911844672647 -23.364326983522642, 120.2179995973430876 -23.364353345905428, 120.2180104544560582 -23.364367337812759, 120.2180306032268665 -23.364386473619524, 120.2180705085087575 -23.364409395985155, 120.2180828332736308 -23.364432235928283, 120.2180830379626703 -23.364565414138733 ))",lane,blue
"POLYGON((120.1872436965860256 -23.379954902178689, 120.1873113764396586 -23.379955153742821, 120.1877325173943459 -23.379958645218689, 120.1881478878106788 -23.379959971372267, 120.1881483864820726 -23.380101546501567, 120.1877329183117711 -23.380100942698689, 120.1873126578755649 -23.380101694618169, 120.1872395987950204 -23.380100722265746, 120.1872436965860256 -23.379954902178689 ))",lane,blue
